text_snippet,true_stars,pred_stars,explanation,json_valid,raw_response,latency_ms,error,prompt_type
"I might be finicky when it comes to Filipino food, but there is one thing that I cannot resist but getting from time to time. I love my Ube and Pan De Ube is one of those items I yearn for. While some of the other items tend to be too sweet for me, I do like the Pan De Sal. A simple breakfast of this bread, fried eggs, and sausage makes me reminisce about my time in the Philippines. \n\nI agree with other Yelpers who say that the items do not tend to last long. Overall, I would recommend to buy enough to eat that day. This is difficult because most of the breads come in a generous amount.",3,4,"The reviewer highly recommends the Pan De Ube and Pan De Sal, but notes that items tend to sell out quickly.",True,"{""stars"": 4, ""explanation"": ""The reviewer highly recommends the Pan De Ube and Pan De Sal, but notes that items tend to sell out quickly.""}",328.75,,zero_shot
"Aria is typically not the type of establishment I would frequent. It seems like the type of place that people who think they are sophisticated go to feel like they are sophisticated. As I'm fond of saying when I see tables VIP reserved at the booty clubs here in Charlotte, \""This is not New York City.\""\n\nDespite the Gattaca style ambiance that this troglodyte normally doesn't associate with Italian joints, the food was awesome. It does happen every so often that my ingrained, arbitrary, judgmental prejudices are incorrect.\n\nThis was a restaurant week visit and Aria gets automatic kudos for offering practically the full menu instead of paring the choices down to three or four almost popular options.\n\nI did play it traditional with my meal, sticking to classic staples. The fried calamari was fresh, light and crispy, not greasy or oily at all, with plenty of tentacles, which are the best part. For my main entree, I had the linguine and clams like some kind of mafioso. Fresh clams in the shell and plenty of them served on a bed of al dente linguine and understated white wine clam sauce. The portion size thankfully is not overwhelming nor skimpy. All finished off with an amazing cheesecake, perhaps one of the best deserts I've ever had and I'm not a huge fan of cheesecake. Aria could be worth an end of the evening stop simply for desert. And I really don't believe in desert; it takes up too much stomach space that I need for meal gorging.\n\nThis three course dinner was not heavy at all like a lot of Italian food, sitting in your gut some sort of fart bomb ready to go off.\n\nI did not get a drink, but the table next me ordered some refreshing looking cocktails. I'm comfortable enough with myself to drink pink. The wine selection is extensive. It's supposed to be, it's an Italian restaurant.\n\nIf I had a special lady, I'd take her here. Yeah, it's that nice.",4,5,"The reviewer was pleasantly surprised by the excellent food, service, and ambiance, making it a great choice for a special occasion.",True,"{""stars"": 5, ""explanation"": ""The reviewer was pleasantly surprised by the excellent food, service, and ambiance, making it a great choice for a special occasion.""}",1058.89,,zero_shot
A very enjoyable experience and would consider this one of the most romantic places my wife and I have been to for dinner.  I would highly recommend sitting outside to watch the famous Bellagio fountains as this truly added to the overall ambiance of the dinner.  Our waiter Robert was exceptional and he had been with the restaurant since its grand opening in 1998.  I would recommend this for business or pleasure and we are glad that this was our first nights dinner here in Vegas.,5,5,"The reviewer had a highly enjoyable and romantic experience, praising the ambiance, service, and overall quality of the restaurant.",True,"{""stars"": 5, ""explanation"": ""The reviewer had a highly enjoyable and romantic experience, praising the ambiance, service, and overall quality of the restaurant.""}",421.38,,zero_shot
"Mediocre Chinese restaurant in Madison. Cliff and I came here for a cheat meal after a long cleanse. \n\nWe ordered the black pepper deep fried chicken, garlic eggplant, and a seafood soup. \n\nThe chicken was very disappointing; normally, chinese restaurants fry this chicken dish by the whole, but Fugu skimped out. They gave us the nasty little  parts of the chicken (including cartilage and god knows what else), heavily battered them, and fried them - so each bite consisted of crunchy dough and oil. A few pieces into the dish I started to question if they were even serving me actual chicken. \n\nThe seafood soup was a miss. It was heavily salted and tasted as if they dumped frozen seafood inside an msg loaded broth. \n\nThe eggplant was the only decent dish. I tasted sweet chili sauce more than anything else (didn't taste the garlic at all, so the name was misleading). Though it actually made me want to finish my rice. \n\nAside from everything else, I feel like Fugu needs to chill with the red chili peppers and hot chili oil. They drench that in every single goddamn dish that when you finish and look at the plate, you realize that half of it consisted of red peppers.",3,1,"The reviewer was extremely dissatisfied with their experience, citing poor food quality and excessive use of chili peppers.",True,"{""stars"": 1, ""explanation"": ""The reviewer was extremely dissatisfied with their experience, citing poor food quality and excessive use of chili peppers.""}",271.62,,zero_shot
"This was my second time going to JET. The first time was fun. Maybe because it was a GQ private party before they opened it to the public. It was open bar and they had a band before the DJ came. This time . . . was AWFUL!!! Those things behind the bars are the rudest people I've met. The night that we went, they were doing a promotion for Skyy vodka, so ladies drank free (with coupons) skyy drinks until midnight. I asked the first bartender what type of drinks I could get. She said \""any\"" Skyy vodka drink. I then asked for a cosmo. She took my drink coupon and then rudely said, \""You can't have that.\"" I told her that you just told me that I could have \""any\"" Skyy vodka drink.She said, \""Not that\"". I ended up getting a vodka & cranberry because she was sooooo rude, I wanted to yell at her. Then my date ordered his drink. He asked her something about brown liquors. She yelled at him, \""This is a full bar! We have everything here! What do you want?! We ended up walking away because we both wanted to curse her little scrawny butt out at that point. \n\nThe next bar wasn't any better. It seemed that the drink coupons were like the \""kiss of death\"". Once the girls saw them, the attitudes came. It was like since you are not paying for the drink, you don't deserve good service. Plus they were NOT even serving us Skyy vodka! They were using the house brand. They poured it from the spout and I know that Skyy was NOT the house brand. After 4 watered down drinks and no buzz, I BOUGHT a martini with Skyy vodka. BIG DIFFERENCE! I actually saw her pick up a skyy bottle to make the drink. I know that the free drinks weren't going to be the best, but I didn't expect the rudeness. I am never going back to JET. The service was extremely poor. Those bartenders were the worst! They should all be fired.",1,1,"The reviewer had a terrible experience with rude bartenders and poor service, leading to a decision not to return to JET.",True,"{""stars"": 1, ""explanation"": ""The reviewer had a terrible experience with rude bartenders and poor service, leading to a decision not to return to JET.""}",224.5,,zero_shot
"I know I'm supposed to like the O and that it's a tradition, but honestly, the food is not all that good.  I like the fries, they are better than average, and the portions are huge.  My cheesesteak sandwich was not even average, and the portion of meat was very skimpy.",2,2,"The reviewer was disappointed with the food quality, except for the fries, which were a highlight.",True,"{""stars"": 2, ""explanation"": ""The reviewer was disappointed with the food quality, except for the fries, which were a highlight.""}",242.15,,zero_shot
"Went there for lunch today. This is my second time visiting and the second time my order was messed up. I had ordered a chicken ceaser salad burrito. It was my mistake I guess, from what I remember a ceaser salad doesn't have tomatoes in it. Well it does here. I don't like tomatoes. Love ketchup but not regular tomatoes soggin up my meal. I had them make another burrito. The menu clearly states what's in a ceaser salad, and tomato is not one of the ingredients. The replacement burrito tastes slightly better than the first but not by much. Maybe they had a surplus of tomatoes and were trying to get rid of em I don't know. Should've went to Costa Vida but as we all know they are almost always crowded. Ugh F me and my burrito cravings.",2,2,"The reviewer had a disappointing experience with incorrect orders and a menu item not prepared as expected, but service was attempted to be rectified.",True,"{""stars"": 2, ""explanation"": ""The reviewer had a disappointing experience with incorrect orders and a menu item not prepared as expected, but service was attempted to be rectified.""}",350.5,,zero_shot
"I would not recommend this facility.  I was never clearly diagnosed and was given antibiotics twice. However, the doctor is nice and helpful, his staff is rude. I called to ask for my prescription to be called into the pharmacy or sent electronically and I was questioned by the \""office manager\"" Katrina as to \""why I couldn't take it myself.\"" I am sick, I am the patient. I don't feel as though that was appropriate. She also mentioned that its been 12 hours since I received the hard copy. Yes, I am aware. Again, I don't think that matters. I am sick and would prefer not to wait in a crowded pharmacy for an hour. It's 2014, it's standard to send Rx electronically! I have been sick for 4weeks now and clearly the \"" patient comes first\"" mentality is not practiced here and I was denied of my prescription being sent because of \"" the recent events of our phone calls\"" when I supposedly hung up on \""the office manager.\"" Which is impossible considering she hung up first.. Great quality patient care! I suggest you save your time and go to a different facility...",1,1,"The reviewer strongly disliked their experience due to unclear diagnosis, rude staff, and poor communication, leading to a negative overall experience.",True,"{""stars"": 1, ""explanation"": ""The reviewer strongly disliked their experience due to unclear diagnosis, rude staff, and poor communication, leading to a negative overall experience.""}",3296.06,,zero_shot
The food is great however...The staff has problems with communication skills. First you can spend 30 bucks in their. And they will give u a tiny cup of water. What am I to do with this like...I'm thirsty not trying to brush my teeth.\nTheir rude staff sucks big time! We are in Nevada if I spend money why not give a nice size cup of water its a desert out their. They seem to look down on you because you don't want a soda. But I just spent 30 bucks ugh! Now I have to spend 2 more bucks for water. lol Last I checked tap water is free. Its not as if they give you bottle water. Also I asked if the pudding is made from scratch. I was told yes. So I bought the pudding. However when I got home I could not believe my eyes. The pudding was box made. I Deceive you not people. \nSo I jumped back into my SUV and ran back across town to gritz. I was met by the same older lady who had lied to my face. OMG you think you can trust someone thats old enough to be your grand mother. \nUgh! but anyway when I told her why I was back and that I wanted a refund she gave a piss poor excuse as to why she deceived me. She said I think of gritz cafe as my home so I used box pudding and to me thats home made. \nI replied only a person who cant cook would give an excuse such as this. Gas is not cheap and you lady just are a pure liar. She wasted my time and money. If I return I will only be getting catfish and maybe chicken I have had both those dishes and they were great.,2,1,"The reviewer had a terrible experience with rude staff, dishonesty, and poor communication, leading to a completely negative review.",True,"{""stars"": 1, ""explanation"": ""The reviewer had a terrible experience with rude staff, dishonesty, and poor communication, leading to a completely negative review.""}",5399.35,,zero_shot
"Ok so I usually write longer reviews, but if you haven't found or heard of this place yet.....well I feel sorry for you. Awesome burgers, awesome fresh fries, great shakes and lemonades, great service. Oh and super cheap, I mean cheaper than mcdonalds garbage. Go animal style.",5,5,"The reviewer highly recommends this place for its great food, service, and value, comparing it favorably to McDonald's.",True,"{""stars"": 5, ""explanation"": ""The reviewer highly recommends this place for its great food, service, and value, comparing it favorably to McDonald's.""}",2324.86,,zero_shot
The fish on the sushi gave my friend food poisoning. Worse part is the manager is literally watching you from the Cameras in the back. \n\nThe worst part is that if you order more of the same sushi they reduce the fish portion and increase the rice amount. I ONLY TASTED STICKY RISE!!!,1,1,"The reviewer had a severely negative experience with food poisoning and felt surveilled, with poor food quality and deceptive serving practices.",True,"{""stars"": 1, ""explanation"": ""The reviewer had a severely negative experience with food poisoning and felt surveilled, with poor food quality and deceptive serving practices.""}",2530.52,,zero_shot
"Montreal is a great foodie town, and it has its staples.  French/Quebecois cuisine.  Bagels.  Destination restaurants like Joe Beef.  'Montreal smoked meat' is definitely on that list, though maybe not the first one that an out-of-towner like myself thinks of.  Once you get past that part and hear that this is a must-have, chances are Schwartz's will be the main place you hear about.\n\nSchwartz's and the locals know that this place is popular.  The day before we visited while buying bagels at St-Viateur (another name you'll surely hear being held in high regard), the other patrons were raving about the length of the \""lineups\"" in front of Schwartz's.  Schwartz's also realizes this, and in turn operates both a sit-down and carry-out side of their business, a major plus for moving the crowds through quickly.\n\nThe beef itself...pretty good.  If you're familiar with the corned beef, this has similar consistency, utilizing the same brine-curing process, but is actually kosher-style beef brisket.  Throw a bit of mustard on that and put it between 2 slices of bread, and that's all you need!  The amount of hype may have knocked it down a star, but if you go, you won't be disappointed.  Just remember to grab napkins on your way out...this is by no means the tidiest sandwich you'll ever eat.",3,4,"The reviewer enjoyed the food, but was slightly let down by the hype and the messy eating experience.",True,"{""stars"": 4, ""explanation"": ""The reviewer enjoyed the food, but was slightly let down by the hype and the messy eating experience.""}",4310.1,,zero_shot
Came on a Saturday night to enjoy the free bubbly for an hour. No problem getting in for us local ladies..got my wristband for the free booze & it was on. The club is actually very small but it's laid out perfectly. Bathrooms are easy to access. My favorite part was the outside patio area. It was a beautiful night to sip our free drinks outdoors. We were able to sit at one of the reserved tables for about an hour til they needed it for bottle service. It was nice to be able to sit while we got our drink on. After that we went inside to shake our ass to some pretty decent music. Thankfully hip hop was not being played to much. We had a super time there even tho they don't have a designated dance floor. I highly recommend this place as a 1st stop on the club circuit.,4,5,"The reviewer had a great time at the club, enjoying free drinks, a perfect layout, and good music, making it a highly recommended spot.",True,"{""stars"": 5, ""explanation"": ""The reviewer had a great time at the club, enjoying free drinks, a perfect layout, and good music, making it a highly recommended spot.""}",4328.56,,zero_shot
"This experience was definitely A-OK. Not fantastic, not bad, just fine. I wasn't expecting much since this is not a full-facility spa, so my expectations were not too high. My boyfriend and I got the couples' massage, both of us did deep tissue. \n\nThe storefront was a little hard to find, which it shouldn't be because it faces the freeway. The little strip mall it is in feels a little dodgy. Definitely not somewhere I would want to be at night by myself. \n\nThe decor is pretty kitschy in an attempt at old vegas style, but it's nice enough. The girl at the front desk was nice and they had a little waiting room off to the side away from the lobby area. They have some small bottled waters and teas. Points for trying! \n\nThe massage itself was alright. My masseur had good technique and did a really good job of concentrating on my problem areas, but one issue I had was his hairy arms! I've had male massage therapists and have never noticed this to be a problem. Perhaps the massage lotion (not oil) that they use doesn't soften his hair as much as oil at other spas does or something. I have very soft / smooth Asian skin, and either his arm hair was very stubbly or very coarse, but every time he used his forearms on my back it felt like I was being massaged with sandpaper. Ick! Also, since the couples' massage room is on the street side of the building, we could hear the music coming in from the waiting room pus the sound of cars zooming down the freeway the entire time. \n\nWhen we were finished and I went to put my clothes back on, I discovered a big glob of massage lotion still on my back. I wish this had been wiped off better. The facility does have a shower and towels, but I think this might only be offered to people who get all-day treatments such as a massage, then a facial, then something else, etc. I didn't see any robes, so I'm not really sure how you're supposed to traipse down the hall to the bathroom/shower room anyway. I suppose I could have asked about the shower, but I am meek like that and had already put my clothes back on anyway. But if they aren't going to offer the use of their shower facility, they should do a better job of wiping the massage lotion off. \n\nIn all, everything was alright. I feel like I could get the same quality of service / lack of amenities for half the price at massage envy, though. I was hoping this would be a step up since they charge more (nice candles, fruit-infused water, etc), but really don't expect anything more than the massage itself.",3,3,"The reviewer found the experience to be just fine, with some positives like good massage technique, but also several negatives like hairy arms and lack of amenities.",True,"{""stars"": 3, ""explanation"": ""The reviewer found the experience to be just fine, with some positives like good massage technique, but also several negatives like hairy arms and lack of amenities.""}",7545.74,,zero_shot
"I suppose its well stocked and closer for me than Tesco but it just doesnt have that friendly neighbourhood shop vibe. \nTwice in the last couple of weeks Ive been short changed and instead of a 'are you sure' or a 'lets see' the dude looked at me as if I just declared an interest in his wife.\nBoth times they were out by a pound or so. we aint talking 2p here man!\n\n\n They are on to me though. Last week I was overcharged for a coke and so I said 'I paid less last week'. He replied 'oh we undercharged you by mistake'...Good move that one...\n\n\n Finally, dont try and haggle. I haggled them for 20p off some Snapple but the only one who sanctions haggled goods is the Old Man. The other staff were taken by surprise and looked a little scared as I tried the haggling.",3,1,"The reviewer had a poor experience with unfriendly staff, short changing, and a lack of neighborhood shop vibe.",True,"{""stars"": 1, ""explanation"": ""The reviewer had a poor experience with unfriendly staff, short changing, and a lack of neighborhood shop vibe.""}",3494.84,,zero_shot
"Not sure how I have missed this place as I live 5 minutes away but stopped in today for the first time for lunch.  The restaurant is very clean and like many others have said it is cafeteria style.  You step up to the counter and they prepare you food to order.  They have a great number of different sandwiches, salads, soups and deserts to choose from.  I ordered the \""New Yorker\"" Piled high with Hot Pastrami topped with homemade Cole slaw and Miracle Mile Dressing $9.79.  Sandwiches come with your choice of sides and a pickle. I cannot remember ever having better Pastrami.  Service was friendly as expected.  I will probably go back tomorrow.  :-)",5,5,"The reviewer had an exceptional experience with great food, clean environment, and friendly service, planning to return the next day.",True,"{""stars"": 5, ""explanation"": ""The reviewer had an exceptional experience with great food, clean environment, and friendly service, planning to return the next day.""}",3356.55,,zero_shot
We eat at trio nearly twice a week. The menu has various different items and everything is good. I love the homemade chicken fingers and their brick oven pizzas are to die for. Trio is also very inexpensive for the quality of food that you get. Most dishes are under 12.00. The service is good as well.,5,5,"The reviewer highly praises Trio's food quality, variety, and affordability, with excellent service to match.",True,"{""stars"": 5, ""explanation"": ""The reviewer highly praises Trio's food quality, variety, and affordability, with excellent service to match.""}",2366.08,,zero_shot
This place is seriously good. Come later at night if you want to get in without a reservation. The drunken noodle seabass was the highlight for me. Servers are excellent and you can always trust them to order for you (I did this and it was fun trying new things. Great old Riesling wines that contrast the spicy amazingly. Have to order the mangos for dessert.,5,5,"The reviewer highly praises the food, service, and atmosphere, indicating a perfect dining experience.",True,"{""stars"": 5, ""explanation"": ""The reviewer highly praises the food, service, and atmosphere, indicating a perfect dining experience.""}",2431.2,,zero_shot
"The best tacos in the city, amazing veggies, and indescribably great salsas. The tacos are like tapas, so you need to order two or three, but they are reasonably priced. Nice atmosphere and friendly staff with great art to view while waiting for your order.",5,5,"The reviewer highly praises the food, atmosphere, and service, indicating a perfect dining experience.",True,"{""stars"": 5, ""explanation"": ""The reviewer highly praises the food, atmosphere, and service, indicating a perfect dining experience.""}",2401.61,,zero_shot
Our first visit. Sat on the patio and after 10 long minutes had to flag a server. If not for a time crunch my guest and I would have left. Servers all appeared overwhelmed and less than friendly. Not acceptable for upscale Scottsdale establishment on a Friday night. Good management appears to be lacking and it's a shame as this location has all the ingredients to be 4-5 stars consistently.,1,2,"The reviewer was disappointed with the service, citing long wait times and unfriendly servers, despite the location's potential for higher ratings.",True,"{""stars"": 2, ""explanation"": ""The reviewer was disappointed with the service, citing long wait times and unfriendly servers, despite the location's potential for higher ratings.""}",3370.28,,zero_shot
They called us to come At 2.we waited more than an hour for the assistance .wtf.we made a reservation before.bad service,1,1,"The reviewer had a terrible experience with long wait times and poor service, despite making a reservation.",True,"{""stars"": 1, ""explanation"": ""The reviewer had a terrible experience with long wait times and poor service, despite making a reservation.""}",1364.98,,zero_shot
"While the price is right, it really is so outdated I won't be returning unless they happen to be playing something that I can't find anywhere else in Henderson. The theater is one of those tiny ones where the huge aisle is right in the middle. In other words, you'll never get that perfect middle seat - it doesn't exist! Also, the sound was pretty bad and the picture wasn't great. We were watching \""Devil\"", and it wasn't all that scary because the theater wasn't even dark enough during the black out moments to really get the effect.  Major points for extending matinee prices till 6 PM - otherwise you might as well just see a movie at the $1 cinema. The quality is the same, you just wait a couple months and get to save $5.",3,2,"The reviewer was disappointed with the outdated theater, poor sound and picture quality, but appreciated the extended matinee prices.",True,"{""stars"": 2, ""explanation"": ""The reviewer was disappointed with the outdated theater, poor sound and picture quality, but appreciated the extended matinee prices.""}",3419.06,,zero_shot
"Terrible service...  Do you ever go somewhere and just want to end it all while you sit at the table waiting??  Quite unfortunate, however I really have nothing else to say about this experience.  We did eventually get to order food, however no drinks which was quite bizarre till it was worked out.  \n\nWe also eventually saw some of the food...  Not 3/4's of it, given the service issues that I may have mentioned, but a few bites here and there.  Needless to say, we didn't actually eat the food, as it was time to take our business elsewhere.  \n\nGood luck with this place if you choice to waste your money here.  With so many other better options within a crawl, I don't understand how this place stays open... boo....",2,1,"The reviewer had a completely negative experience with terrible service, long wait times, and poor food quality, leading to a decision to leave without eating.",True,"{""stars"": 1, ""explanation"": ""The reviewer had a completely negative experience with terrible service, long wait times, and poor food quality, leading to a decision to leave without eating.""}",4378.36,,zero_shot
"The key to Sack's is the daily specials. \n\nFor a long time I came here and got the Symphony which is a decent turkey/avacado sandwich and some oriental noodles or one of their other eclectic, tasty sides. Or I would get one of the hot sandwiches on a sub roll like the Encore sans ham. The sandwiches here are ok, but kindof of soggy and sloppy with only mediocre bread like the Baggin's chain in Tucson.\n\nOne of my workmate's finally showed me the light in the form of the poorly written scribbles on the white board at the far side of the menu. Pretty much everything I've ordered from it has been fantastic. The bread still isn't much to talk about, but the unique sandwiches it sports like \""The Blues\"", which is some delicious cajun chicken concoction, make me wish I could eat two.\n\nTop it off with some of their great iced teas. They usually have a couple flavors, with the fruity/citrusy ones being the best. Make sure not to pour a full cup of the Market Spice tea though, you might choke to death. It's best mixed with other teas.",3,4,"The reviewer enjoyed most of their experiences, but had some minor complaints about the bread quality and a few mediocre items.",True,"{""stars"": 4, ""explanation"": ""The reviewer enjoyed most of their experiences, but had some minor complaints about the bread quality and a few mediocre items.""}",4340.93,,zero_shot
"First of all, I would like to say that I have had some really authentic Dim Sum and I have had some really interesting Dim Sum. Both previous experiences were in places located off the west coast, one in Vancouver, British Columbia and the other in San Diego. That being said, this place was sweet and lived up to the high standards set before. If you go, take your appetite and try as many of those little plates as you can. If you are real lucky, try to get someone to tell you what you are ordering so you can eat again. :) \nIt was fairly not busy for a Friday afternoon, but i have hear Saturdays and Sundays this places gets busy. \nLet me know how you like it.",4,5,"The reviewer highly recommends this Dim Sum place, praising its authenticity and variety, and encourages others to try it with a large appetite.",True,"{""stars"": 5, ""explanation"": ""The reviewer highly recommends this Dim Sum place, praising its authenticity and variety, and encourages others to try it with a large appetite.""}",3344.68,,zero_shot
"Great food, portions could be smaller. A little pricey for Middleton. Would try somewhere else next time but would also not hesitate to return.",4,3,"The reviewer enjoyed the food but found the portions too large and the price too high, resulting in a mediocre experience.",True,"{""stars"": 3, ""explanation"": ""The reviewer enjoyed the food but found the portions too large and the price too high, resulting in a mediocre experience.""}",1304.29,,zero_shot
