text,true_stars,pred_stars,key_point,business_response,json_valid,latency_ms,raw_response
"I heard they were very good at catering to food allergens, but we had a pretty poor experience.  Their gluten free menu was really limited compared to their normal menu.  I have a soy intolerance, and they brought me crab in a soy wrapper.  We didn't figure this out until I was a couple of bites in.  Then they didn't discount my meal.  The waiter took forever even though the place was pretty empty.  Lame all around.",1,1,"They brought me crab in a soy wrapper despite my soy intolerance, which wasn't discovered until I had eaten a couple of bites.","We fell short of our promise to accommodate your soy intolerance, and for that, we're truly sorry. We'll review our procedures to ensure our staff is more vigilant about allergen warnings. We'd love the chance to serve you better in the future.",True,597.99,"{
  ""stars"": 1,
  ""key_point"": ""They brought me crab in a soy wrapper despite my soy intolerance, which wasn't discovered until I had eaten a couple of bites."",
  ""business_response"": ""We fell short of our promise to accommodate your soy intolerance, and for that, we're truly sorry. We'll review our procedures to ensure our staff is more vigilant about allergen warnings. We'd love the chance to serve you better in the future.""
}"
"I really like the atmosphere of this pub when we first went there.  I liked how small and intimate it was.  I like dark, candle lit bars.  It just makes me feel a little more cozy. Unfortunately, the service was a bit lacking.  It took about 10 minutes to get a beer (on several occasions) when there was hardly anyone there, and they charged us twice for 2 single Jameson's. We didn't catch this until we had gotten home. It's not that big of a deal, but considering we went on a night when it wasn't that busy, you think they would be paying more attention to what was going on in front of the bar (i.e. people waiting for drinks) and behind the bar (i.e. getting someone's tab right) I have a feeling we'll be going back. It was a great time regardless, but I guess there are some things that just",3,3,"It took about 10 minutes to get a beer when there was hardly anyone there, and they charged us twice for 2 single Jameson's.","We apologize for the slow service and billing error during your recent visit. We're taking steps to improve our attention to detail, especially during less busy times, and to ensure accurate orders are fulfilled promptly. We'd love to have you back and show you the level of service you deserve.",True,604.47,"{
  ""stars"": 3,
  ""key_point"": ""It took about 10 minutes to get a beer when there was hardly anyone there, and they charged us twice for 2 single Jameson's."",
  ""business_response"": ""We apologize for the slow service and billing error during your recent visit. We're taking steps to improve our attention to detail, especially during less busy times, and to ensure accurate orders are fulfilled promptly. We'd love to have you back and show you the level of service you deserve.""
}"
"Occupying what used to be Nicolson's (where some of Harry Potter was apparently penned) this is a welcome change back from the site's most recent use as a Chinese buffet restaurant. The space is well lit, particularly by the setting sun at this time of year, and furnished in an understated yet quirky fashion.\n\n\n The service is prompt and pleasant and the range of wines well priced, ranging from \u00a310.95 to around the \u00a325 mark. Unusually for a modest establishment of this sort they stock a dessert wine but that's to be commended.\n\n\n Opting for the pre-theatre menu (\u00a39.95 for two courses, \u00a312.95 for three) my starter of potted duck was an ample size although more than one pickle would have been an improvement. My companion's soup of the day was pronounced a success al",4,5,"The potted duck starter was an ample size, but could have benefited from more than one pickle.","We're glad you enjoyed your potted duck starter, and we'll take your feedback on the pickles to heart. We'll make sure to add a few extra pickles to our recipe for future guests. Thank you for dining with us, and we look forward to welcoming you back soon.",True,566.59,"{
  ""stars"": 5,
  ""key_point"": ""The potted duck starter was an ample size, but could have benefited from more than one pickle."",
  ""business_response"": ""We're glad you enjoyed your potted duck starter, and we'll take your feedback on the pickles to heart. We'll make sure to add a few extra pickles to our recipe for future guests. Thank you for dining with us, and we look forward to welcoming you back soon.""
}"
This is such a classic restaurant. I love going here after a little Forum shopping. I have never had anything bad and the service is always excellent.\n\nMy favorite appetizer is the Sesame Seared Ahi Tuna and the Carpaccio of Beef Tenderloin- Delicious! I always get the Beefsteak Tomato Capri because it is my all time favorite salad. The Linguine and Clams Sauce is excellent if you are looking for a pasta dish. The Chilean Sea Bass is also a great choice for a light fish dinner.\n\nFor dessert the Key Lime Pie is a must. This restaurant will not disappoint.,4,5,The reviewer loves the Sesame Seared Ahi Tuna and the Carpaccio of Beef Tenderloin as their favorite appetizers.,"We're thrilled to hear that our Sesame Seared Ahi Tuna and Carpaccio of Beef Tenderloin have become your go-to appetizers. We're proud to serve dishes that exceed our customers' expectations, and we can't wait to welcome you back for another delicious meal.",True,4957.97,"{
  ""stars"": 5,
  ""key_point"": ""The reviewer loves the Sesame Seared Ahi Tuna and the Carpaccio of Beef Tenderloin as their favorite appetizers."",
  ""business_response"": ""We're thrilled to hear that our Sesame Seared Ahi Tuna and Carpaccio of Beef Tenderloin have become your go-to appetizers. We're proud to serve dishes that exceed our customers' expectations, and we can't wait to welcome you back for another delicious meal.""
}"
"I LOVE sushi! And I love it even more when it is from Tokyo Lobby.  I eat here at least once a week, budget be damned.  I can't help it. I'm addicted.  I probably need some kind of support group. I'm all about the soft shell crab and the blue fin. I am also a big fan of their bento boxes.  You get a lot for your buck.  And for appetizers, the Heart Attack is great (never in a million years would I have thought I would be paying for a heart attack).  I usually go as they are opening, because once lunch hour hits, an available seat will be impossible. You should really give this place a try, it is a real treat.",5,5,"The soft shell crab and blue fin sushi are standout favorites, and the bento boxes offer great value for the price.","Thank you for your loyalty and enthusiasm for our sushi offerings, particularly our soft shell crab and blue fin options. We're glad you appreciate the value in our bento boxes. We're happy to have you as a regular customer and look forward to serving you again soon.",True,5882.51,"{
  ""stars"": 5,
  ""key_point"": ""The soft shell crab and blue fin sushi are standout favorites, and the bento boxes offer great value for the price."",
  ""business_response"": ""Thank you for your loyalty and enthusiasm for our sushi offerings, particularly our soft shell crab and blue fin options. We're glad you appreciate the value in our bento boxes. We're happy to have you as a regular customer and look forward to serving you again soon.""
}"
"I used to live in Thailand, and this is one of my top choices when I'm on this side of the ocean. Friendly people and the most authentic Thai food I've found in Phoenix.",5,5,The most authentic Thai food I've found in Phoenix,We're thrilled to hear that our authentic Thai dishes remind you of home. Our team takes pride in serving traditional flavors that transport our customers to Thailand. We'd love to welcome you back for another delicious meal!,True,3777.33,"{
  ""stars"": 5,
  ""key_point"": ""The most authentic Thai food I've found in Phoenix"",
  ""business_response"": ""We're thrilled to hear that our authentic Thai dishes remind you of home. Our team takes pride in serving traditional flavors that transport our customers to Thailand. We'd love to welcome you back for another delicious meal!""
}"
"When I moved to S Scottsdale from Central Phoenix, I was so sad to leave Richardson's and Dick's Hideaway behind in my old hood . . .  until I discovered Carlsbad Tavern. \n\nI love my food with a little bite - it's comfort AND adventure on one plate. And unlike my central favorites, Carlsbad has plenty of tables ready for me to pop in on a whim. More room, yet it still feels cozy.\n\nOutside by the waterfalls with warming heaters - great for a first date OR a night with good friends!",4,5,"Carlsbad Tavern has plenty of tables ready for spontaneous visits, unlike the reviewer's previous favorites in Central Phoenix","We're thrilled to hear that our spacious yet cozy atmosphere makes it easy for you to pop in on a whim. We're glad you can enjoy a great meal with friends or on a first date, and we'll keep working to ensure our tables are always available for spontaneous visits.",True,3744.59,"{
  ""stars"": 5,
  ""key_point"": ""Carlsbad Tavern has plenty of tables ready for spontaneous visits, unlike the reviewer's previous favorites in Central Phoenix"",
  ""business_response"": ""We're thrilled to hear that our spacious yet cozy atmosphere makes it easy for you to pop in on a whim. We're glad you can enjoy a great meal with friends or on a first date, and we'll keep working to ensure our tables are always available for spontaneous visits.""
}"
"When Stacy Phipps opened the doors to his Indian School establishment in 2008, I was his #1 fan. Stacy catered my holiday functions, family gatherings, and weeknight dinners for the next four years. I was heartbroken to see him leave the neighborhood. I sat back and watched sadly as the quality of food suffered under new management, and as the smokehouse finally shut it's doors last year.\n\nWhen I found out Stacy was back, I was ecstatic! But there are some clear differences, and as much as I want to scream a five star review from the rooftops, I don't think I can just yet. As with most jilted Arcadian food lovers, he's going to have to work to earn my trust back. So today we begin with 3.5 stars, and hopefully we can work our way up.\n\nOn the pro side: the interior has improved, the ama",3,3,"the pork ribs were microwaved, which was a disappointment because I'm used to hot meat off the smoker","We apologize for the inconsistency in our smoking process, and we're taking steps to ensure that all meats are cooked to perfection, just like our signature brisket. We appreciate your feedback and would love to have you back to try our smoked meats, cooked to order, and experience the improvements we've made.",True,10450.31,"{
  ""stars"": 3,
  ""key_point"": ""the pork ribs were microwaved, which was a disappointment because I'm used to hot meat off the smoker"",
  ""business_response"": ""We apologize for the inconsistency in our smoking process, and we're taking steps to ensure that all meats are cooked to perfection, just like our signature brisket. We appreciate your feedback and would love to have you back to try our smoked meats, cooked to order, and experience the improvements we've made.""
}"
"I don't usually dole out 1 star reviews but this place was really awful.  The signature scallop dish recommended by our server was small and below Red Lobster quality (think Shoney's or something along those lines), the chicken pot pie tasted like a frozen meat pie.  No joke, it was really lousy and the loud mouth celebrity chef should be ashamed to have his name attached to it.  It's a restaurant worthy of a reality show and perhaps that's the point because I can't think of a better reason to open a new restaurant in the middle of a busy casino that is so awful and completely overpriced for the poor quality food served up.  Service was equally uninspired, the girl that brought our dishes to us was flat out frightening and surly, our main server seemed completely out of it as well.  Overal",1,1,"The signature scallop dish was small and below Red Lobster quality, tasting like something from Shoney's.",We're sorry to hear our signature scallop dish didn't meet your expectations. We'll review our preparation and presentation to ensure it meets the standards our customers have come to expect from us. We invite you to return and experience the improvements we're making.,True,5017.56,"{
  ""stars"": 1,
  ""key_point"": ""The signature scallop dish was small and below Red Lobster quality, tasting like something from Shoney's."",
  ""business_response"": ""We're sorry to hear our signature scallop dish didn't meet your expectations. We'll review our preparation and presentation to ensure it meets the standards our customers have come to expect from us. We invite you to return and experience the improvements we're making.""
}"
"Pretty good boutique.  Back in the day, the used to carry guys' clothing - basically the local stuff like Spraygraphic.  They had an epic sale when they decided to get rid of all of their men's clothing and I was able to get some good shirts for cheap.\n\nI like the way it's laid out inside and everyone was nice.",4,4,"The store used to carry guys' clothing, including local brands like Spraygraphic, but no longer does.","We appreciate your fond memories of our past inventory, particularly our local brands like Spraygraphic. We're glad you were able to snag some great deals during our clearance sale. We're always looking for ways to refresh our selection, and we'd love to have you back to see what's new.",True,4493.29,"{
  ""stars"": 4,
  ""key_point"": ""The store used to carry guys' clothing, including local brands like Spraygraphic, but no longer does."",
  ""business_response"": ""We appreciate your fond memories of our past inventory, particularly our local brands like Spraygraphic. We're glad you were able to snag some great deals during our clearance sale. We're always looking for ways to refresh our selection, and we'd love to have you back to see what's new.""
}"
"From the moment we walked in the door we were treated like celebrities. I wish I was one after leaving here! The food was some of the best Thai we've ever had, and I live in Chicago and have tasted dishes more than a dozen different authentic Thai restaurants. \n\nWe never were without a glass of water or a full glass of wine. I wish I lived here so I could make this a regular stop during my weekly Thai and Sushi cravings. \n\nThe Tilapia was out of this world - topped off with a delicious medley of mint, onions and lemon leaves. I highly recommend the Spring Rolls - very fresh and tasty! Give this place a try - you won't be disappointed.",5,5,"The Tilapia was out of this world - topped off with a delicious medley of mint, onions and lemon leaves.","We're thrilled you enjoyed our signature Tilapia dish, and we're glad our chef's fresh mint, onion, and lemon leaf topping impressed you. We appreciate your recommendation and look forward to welcoming you back for more authentic Thai flavors.",True,5262.35,"{
  ""stars"": 5,
  ""key_point"": ""The Tilapia was out of this world - topped off with a delicious medley of mint, onions and lemon leaves."",
  ""business_response"": ""We're thrilled you enjoyed our signature Tilapia dish, and we're glad our chef's fresh mint, onion, and lemon leaf topping impressed you. We appreciate your recommendation and look forward to welcoming you back for more authentic Thai flavors.""
}"
"This is my favorite brunch spot in town. Bottomless Bubbles with fresh fruit juice, fluffy omelettes and Bang Bang Shrimp. Been here a dozen times and never disappointed.  Their scallops and filet are out of this world. Happy Hour is also not to be missed with fresh Raspberry Collins, Bang Bang Tacos and friendly bartenders.   It's the service that really stands out. I always sit in the bar area and without fail have had staff who aren't just great servers, but really add to the experience. Love, love, love.",5,5,friendly bartenders in the bar area add to the experience,We're thrilled to hear that our bartenders in the bar area have made a lasting impression on you. We'll continue to recognize and reward our team members who go above and beyond to create a memorable experience. We can't wait to welcome you back for another Happy Hour!,True,3945.59,"{
  ""stars"": 5,
  ""key_point"": ""friendly bartenders in the bar area add to the experience"",
  ""business_response"": ""We're thrilled to hear that our bartenders in the bar area have made a lasting impression on you. We'll continue to recognize and reward our team members who go above and beyond to create a memorable experience. We can't wait to welcome you back for another Happy Hour!""
}"
Had breakfast this morning. Prices are a little high for what you get.  Very disappointed that food was only Luke warm but it took quite awhile to get our food that we did't send it back.  Waitress was great. \n\nThis was the 2nd time we've been there and both times food was not hot. Not a cozy place as it is open high ceilings when tend to be noisy.,2,2,"Food was only Luke warm, despite taking quite a while to arrive.",We're sorry to hear that your breakfast was not hot when it arrived. We'll review our kitchen procedures to ensure that dishes are served at the right temperature. We'd love to have you back to show you the improvements we're making.,True,3739.53,"{
  ""stars"": 2,
  ""key_point"": ""Food was only Luke warm, despite taking quite a while to arrive."",
  ""business_response"": ""We're sorry to hear that your breakfast was not hot when it arrived. We'll review our kitchen procedures to ensure that dishes are served at the right temperature. We'd love to have you back to show you the improvements we're making.""
}"
"Wonderful little cheese shop with a variety of cheeses you've never heard of or heard of but never tasted. You can buy small pieces - orphans, they call them - so that you can taste without spending a bundle. There are gifts for foodies, too: jams, confits, crackers, etc. Really friendly staff and great sandwiches. Wish this had been around during my days at UW-Madison.",5,5,"You can buy small pieces, called 'orphans', so that you can taste without spending a bundle.","We're glad you enjoyed our 'orphan' cheese selection, allowing you to taste a variety of cheeses without breaking the bank. We appreciate your feedback and hope you'll return to explore more of our offerings.",True,4513.72,"{
  ""stars"": 5,
  ""key_point"": ""You can buy small pieces, called 'orphans', so that you can taste without spending a bundle."",
  ""business_response"": ""We're glad you enjoyed our 'orphan' cheese selection, allowing you to taste a variety of cheeses without breaking the bank. We appreciate your feedback and hope you'll return to explore more of our offerings.""
}"
"Right off the bat I have to ask what is up with this Stepford Wives hostess staff?  Ok, rhetorical question time over.\n\nI haven't done an itemized pro/con review in while so here we go...\n\nPros:\nExcellent portions of my surf & turf or lobster & filet\nWell prepared medium rare steak\nLobster was perfect and I am not a lobster fan\nVery good serving staff pair\nWell made drinks...martinis and chocolate cakes\nDark, intimate decor (clean-sporty executive clubhouse like)\n\nCons:\nIntimate but noisy.  (I don't like to have to shout over dinner and I want to hear the specials the first time my server fires off with them)*\nOne cocktail server in the bar/waiting area?  Ridiculous. (I literally batted my eyelashes at a girl I guessed was a cocktail server)\nNeither of our servers suggested ",3,4,"Intimate but noisy atmosphere, with clanking silverware and drawers near the seating area",We appreciate your feedback on the noise level in our dining area. We're sorry that the proximity to our server station detracted from your experience. We'll look into rearranging our layout to minimize noise and ensure a more comfortable atmosphere for all our guests.,True,9113.1,"{
  ""stars"": 4,
  ""key_point"": ""Intimate but noisy atmosphere, with clanking silverware and drawers near the seating area"",
  ""business_response"": ""We appreciate your feedback on the noise level in our dining area. We're sorry that the proximity to our server station detracted from your experience. We'll look into rearranging our layout to minimize noise and ensure a more comfortable atmosphere for all our guests.""
}"
"Stayed here 11/15-11/17 and I wouldn't mind coming back. Paid a little over $300 for two nights, not too shabby, probably because it wasn't Comedy Festival time. The location is great which was very important to my club hoppin, heel wearin self. Like the other Yelpers mentioned, the bed was very soft, as if I were trapped inside a marshmallow. Decent eating options, still didn't get to try the Pho place but tried Kahunaville. The only thing I have to complain about are the surly workers but I don't blame them.",3,4,"The bed was very soft, as if I were trapped inside a marshmallow.",We're glad you enjoyed your stay and found our location convenient for your club-hopping adventures. We'll take your feedback on our beds seriously and work on finding the perfect balance of comfort and support. We'd love to have you back and try our Pho place next time.,True,2865.17,"{
  ""stars"": 4,
  ""key_point"": ""The bed was very soft, as if I were trapped inside a marshmallow."",
  ""business_response"": ""We're glad you enjoyed your stay and found our location convenient for your club-hopping adventures. We'll take your feedback on our beds seriously and work on finding the perfect balance of comfort and support. We'd love to have you back and try our Pho place next time.""
}"
"Went here for an office event about a month ago.  Service was really great, food was pretty good and ambiance was fine for this type of group event. We initially sat at the communal table on the second floor but ended up migrating to the area under the stairs as it allowed us to network. \n\nThe servers were very flexible and kept the drinks flowing. The food was great - simple pub fare but overall well done. Loved the eggplant option, hummus, calamari, wings, and other dishes to share.",3,4,The servers were very flexible and kept the drinks flowing.,"We're glad to hear our servers provided excellent service, keeping your drinks flowing throughout your event. We'll continue to train our staff to be flexible and attentive to our guests' needs.",True,3787.95,"{
  ""stars"": 4,
  ""key_point"": ""The servers were very flexible and kept the drinks flowing."",
  ""business_response"": ""We're glad to hear our servers provided excellent service, keeping your drinks flowing throughout your event. We'll continue to train our staff to be flexible and attentive to our guests' needs.""
}"
"MEAN people.. Our dog is a customer, called at 11:00AM on a Saturday, with our dog howling so loud that you could hear him a block away.  We knew it was his time to put him down.  However, Matthews refused because they were closing at noon.  Can you believe that?  They said to take him to an emergency clinic and we told them we could not afford that.  We had already checked prices weeks before, because we knew it was getting close. We had already been sedating him and giving him pain meds. So,I called again at 11:30 to beg them to take him.  While I was on the phone they mistook me for another customer and said that it was okay, Dr. Pritchett would wait to see their dog, which they were putting down.  Now, that was biased! It was okay for them, but not for us.  Obviously, Dr. Pritchard was",1,1,Matthews refused to take in our dog at 11:00AM on a Saturday because they were closing at noon,We're deeply sorry for the pain and distress caused by our closure timing on that difficult day. We should have made an exception for your pet's urgent needs. We'll review our policies to ensure we can provide more compassionate care in similar situations in the future.,True,6154.7,"{
  ""stars"": 1,
  ""key_point"": ""Matthews refused to take in our dog at 11:00AM on a Saturday because they were closing at noon"",
  ""business_response"": ""We're deeply sorry for the pain and distress caused by our closure timing on that difficult day. We should have made an exception for your pet's urgent needs. We'll review our policies to ensure we can provide more compassionate care in similar situations in the future.""
}"
"Seems like a nice place but there are not many vegan options. Even the Veggie Burger comes with mayo and a non vegan bun.\n\nI had the black bean veggie chili and a salad without cheese.  Both were delicious and the presentation was excellent.  I would rate Eat higher, if there were a few more vegan selections.",3,3,"The Veggie Burger comes with mayo and a non-vegan bun, limiting vegan options.",We appreciate your feedback and apologize for the non-vegan bun on our Veggie Burger. We're happy to offer a vegan bun option upon request. We'll work on expanding our vegan menu to better serve our customers.,True,3776.64,"{
  ""stars"": 3,
  ""key_point"": ""The Veggie Burger comes with mayo and a non-vegan bun, limiting vegan options."",
  ""business_response"": ""We appreciate your feedback and apologize for the non-vegan bun on our Veggie Burger. We're happy to offer a vegan bun option upon request. We'll work on expanding our vegan menu to better serve our customers.""
}"
